reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.01,185.0
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.025,191.0
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.05,208.0
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.1,223.0
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.15,246.6230124337376
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.2,267.5617893761223
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.25,291.43178693203595
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.3,305.0931443997523
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.35,327.3299422125851
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.4,349.6222324646452
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.45,358.0
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.5,367.99377473361176
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.55,386.1568030916087
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.6,401.7829666052557
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.65,407.0
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.7,414.5045455606989
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.75,421.6341019159259
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.8,429.6447404160707
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.85,439.0
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.9,451.09103576240784
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.95,469.1955193378998
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.975,485.1869164414033
2026-02-14,01,0,wk inc flu hosp,2026-02-14,quantile,0.99,504.1172893816898
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.01,115.1220474243164
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.025,124.6692352294922
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.05,133.41001892089844
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.1,150.0
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.15,167.0
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.2,182.1940811066096
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.25,198.75925106210696
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.3,214.42894822891023
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.35,229.02053481757503
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.4,243.66154555234897
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.45,258.6639390375059
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.5,274.8339223641444
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.55,291.4061682174898
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.6,306.8563781284952
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.65,319.1200310884269
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.7,332.30411432284643
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.75,358.29633356927445
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.8,390.07668947530505
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.85,423.3594740690867
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.9,460.0
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.95,477.0
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.975,523.0
2026-02-14,01,1,wk inc flu hosp,2026-02-21,quantile,0.99,573.0
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.01,70.85277557373047
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.025,77.85472869873047
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.05,85.03926086425781
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.1,105.74326234098586
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.15,123.5623908157322
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.2,136.92185395569922
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.25,150.45004835884578
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.3,165.39526578324848
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.35,180.43352635662623
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.4,195.561327862517
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.45,211.803356853851
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.5,229.175758881096
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.55,248.00189915378505
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.6,267.62113461280734
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.65,286.15761387824216
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.7,309.8337132550492
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.75,335.9379883602016
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.8,366.0
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.85,373.0
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.9,414.6736806833406
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.95,490.0
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.975,542.4378621966565
2026-02-14,01,2,wk inc flu hosp,2026-02-28,quantile,0.99,600.1227112253299
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.01,43.99451446533203
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.025,53.31126541447727
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.05,59.75018299959002
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.1,79.78922725859451
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.15,97.63615682732204
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.2,113.70163392542824
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.25,125.87287124457366
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.3,139.1013014453411
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.35,153.22309526799805
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.4,168.484288614388
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.45,184.8190769643658
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.5,203.5033139607409
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.55,223.2910168420151
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.6,245.01616595224127
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.65,268.3479950144346
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.7,290.0
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.75,295.0
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.8,304.0
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.85,342.0060247662739
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.9,409.39086705463313
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.95,515.4519902481926
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.975,569.5603532923446
2026-02-14,01,3,wk inc flu hosp,2026-03-07,quantile,0.99,635.8677670950442
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.01,1.0766173734233766
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.025,2.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.05,3.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.1,4.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.15,5.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.2,5.2066593851883605
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.25,6.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.3,6.917233219942836
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.35,7.743691350961609
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.4,8.571032203634187
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.45,9.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.5,9.568590693239502
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.55,10.589820405420888
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.6,11.591849686850797
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.65,12.648304231667847
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.7,13.90912786646143
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.75,15.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.8,17.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.85,18.8667361907467
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.9,21.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.95,23.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.975,27.0
2026-02-14,02,0,wk inc flu hosp,2026-02-14,quantile,0.99,30.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.01,1.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.025,2.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.05,2.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.1,3.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.15,4.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.2,4.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.25,5.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.3,5.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.35,6.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.4,7.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.45,8.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.5,8.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.55,9.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.6,10.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.65,12.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.7,13.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.75,15.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.8,17.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.85,19.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.9,21.66852394010805
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.95,26.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.975,29.0
2026-02-14,02,1,wk inc flu hosp,2026-02-21,quantile,0.99,33.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.01,0.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.025,0.1849114656189555
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.05,1.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.1,2.66643137541717
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.15,3.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.2,3.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.25,3.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.3,3.5762112536682533
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.35,4.55432929352722
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.4,5.591668145531161
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.45,6.696516889711159
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.5,7.88103408001102
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.55,8.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.6,9.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.65,10.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.7,11.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.75,13.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.8,15.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.85,17.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.9,19.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.95,23.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.975,26.0
2026-02-14,02,2,wk inc flu hosp,2026-02-28,quantile,0.99,31.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.01,0.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.025,0.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.05,1.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.1,1.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.15,2.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.2,2.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.25,3.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.3,3.0
2026-02-14,02,3,wk inc flu hosp,2026-03-07,quantile,0.35,4.0
